IID,cluster
HORUS003912557187,0
HORUS003912557068,1
HORUS003910310876,0
HORUS003912557330,0
HORUS003910310650,0
HORUS003992568150,0
HORUS003912557458,1
HORUS003992568265,0
HORUS003910310572,1
HORUS003910309822,0
HORUS007200122007,0
HORUS007200120243,0
HORUS003992568751,0
HORUS003991270716,0
HORUS003992569382,0
HORUS003991271065,0
HORUS003912557172,0
HORUS007200120095,0
HORUS003991270737,0
HORUS007200119926,0
HORUS003992569498,0
HORUS003910310184,0
HORUS007200119962,0
HORUS007200120228,0
HORUS003910310209,0
HORUS007200121534,0
HORUS007200120051,0
HORUS007200120102,0
HORUS003912557022,0
HORUS003912556892,0
HORUS007200122002,0
HORUS003992569170,0
HORUS007200120129,0
HORUS003991270628,1
HORUS003912556849,0
HORUS007200122011,0
HORUS007200120178,0
HORUS007200121437,0
HORUS003912556840,0
HORUS007200121537,0
HORUS007200120141,0
HORUS003992568426,0
HORUS003912556506,0
HORUS003991271134,1
HORUS003992568037,0
HORUS003910309756,0
HORUS003912556985,0
HORUS003992568034,0
HORUS003992568416,0
HORUS003912556771,0
HORUS003992567898,0
HORUS007200119979,0
HORUS003992568782,0
HORUS007200119869,0
HORUS003912557524,0
HORUS007200119936,0
HORUS003912556864,0
HORUS003910310222,0
HORUS003992568067,0
HORUS007200120011,0
HORUS003910310378,0
HORUS003991270985,0
HORUS003912557372,0
HORUS007200119671,0
HORUS003992568391,0
HORUS003912556911,0
HORUS003991270759,1
HORUS003910309792,0
HORUS003912557457,0
HORUS003992569481,0
HORUS003912556995,0
HORUS003992568137,0
HORUS003992570198,0
HORUS003992569909,1
HORUS003992569781,0
HORUS003912557064,1
HORUS007200121947,0
HORUS003992567809,0
HORUS003910310445,0
HORUS003992569288,0
HORUS007200120168,0
HORUS003992568104,0
HORUS003910310938,0
HORUS007200122020,0
HORUS007200119698,0
HORUS007200121501,0
HORUS003912557467,1
HORUS003912556573,0
HORUS003992568780,0
HORUS003992568701,0
HORUS007200121573,0
HORUS007200121538,0
HORUS003992568943,0
HORUS007200119851,0
HORUS007200119876,0
HORUS003991271074,1
HORUS003991270654,0
HORUS003910309781,0
HORUS007200120132,0
HORUS003912557115,1
HORUS003992567834,0
HORUS003912556550,0
HORUS007200121548,0
HORUS003992568278,0
HORUS007200119790,0
HORUS003912557175,0
HORUS007200121432,0
HORUS007200119801,0
HORUS003992569112,0
HORUS007200117950,0
HORUS003991271095,0
HORUS003912556905,1
HORUS003992567985,0
HORUS003992568383,0
HORUS003991270670,0
HORUS003992569672,0
HORUS003910310383,0
HORUS003910310803,1
HORUS003910310521,1
HORUS003991270230,0
HORUS003992568346,1
HORUS003910310430,0
HORUS003992569984,0
HORUS003912556929,0
HORUS003992568394,0
HORUS003992568287,0
HORUS007200120031,0
HORUS003912557475,0
HORUS003992568140,0
HORUS003912557387,1
HORUS007200118205,0
HORUS003912557390,1
HORUS003912556953,0
HORUS003992570184,0
HORUS003910310905,0
HORUS003991270663,1
HORUS007200121444,0
HORUS003991270960,0
HORUS007200119904,0
HORUS007200121186,0
HORUS007200121502,0
HORUS003910310331,0
HORUS003992569964,0
HORUS003992569303,0
HORUS007200119764,0
HORUS003992570087,0
HORUS003992567895,0
HORUS003991270589,0
HORUS007200121445,0
HORUS003912557235,0
HORUS003992567852,0
HORUS003912556736,0
HORUS003991270491,0
HORUS003992568006,0
HORUS007200121207,0
HORUS007200121556,0
HORUS007200120254,0
HORUS007200121549,0
HORUS007200120012,0
HORUS007200122016,0
HORUS003992568379,0
HORUS003991270350,0
HORUS003910310987,0
HORUS003912557558,0
HORUS003910309748,0
HORUS003992568005,0
HORUS003910310755,0
HORUS007200119906,0
HORUS003992568263,0
HORUS003992567814,0
HORUS003991271117,1
HORUS003912556866,0
HORUS003912556627,0
HORUS003910310977,0
HORUS003910309870,0
HORUS003912557553,1
HORUS007200119878,0
HORUS003991270917,0
HORUS003910310210,0
HORUS003912557564,0
HORUS007200120086,0
HORUS003992569934,0
HORUS003910310028,0
HORUS007200121187,0
HORUS003992568677,0
HORUS003912557030,1
HORUS007200121954,0
HORUS003992568269,0
HORUS003912556947,0
HORUS003910310963,0
HORUS003912557482,0
HORUS003910310877,0
HORUS003991270722,0
HORUS007200119689,0
HORUS007200122012,0
HORUS003992568942,0
HORUS007200121948,0
HORUS007200122139,0
HORUS007200120151,0
HORUS003991270844,0
HORUS003991270608,0
HORUS003992568654,0
HORUS007200121522,0
HORUS003992569221,0
HORUS007200120027,0
HORUS003910310189,0
HORUS003912556514,0
HORUS003992568185,0
HORUS003992568364,0
HORUS003992568195,0
HORUS003992569913,0
HORUS003991270893,1
HORUS003992568451,0
HORUS003992568112,0
HORUS007200119776,0
HORUS003992568385,0
HORUS003910310363,0
HORUS007200118671,0
HORUS007200119769,0
HORUS003992569631,0
HORUS007200122022,0
HORUS003910310722,0
HORUS003912556912,0
HORUS003992568994,0
HORUS003910310548,0
HORUS003910309783,0
HORUS007200120014,0
HORUS007200119927,0
HORUS003910310415,0
HORUS007200121199,0
HORUS007200120184,0
HORUS003992567952,0
HORUS007200121946,0
HORUS003991271075,1
HORUS003910310532,0
HORUS003991270293,0
HORUS003992568076,0
HORUS003910310874,0
HORUS003992568172,0
HORUS003991270479,0
HORUS003991270741,1
HORUS007200122001,0
HORUS003912556885,0
HORUS007200119700,0
HORUS007200118731,0
HORUS003992569389,0
HORUS007200121185,0
HORUS003910310839,0
HORUS007200119981,0
HORUS003912556717,0
HORUS003910310326,0
HORUS003992568136,0
HORUS003910309758,0
HORUS003912557038,1
HORUS007200121570,0
HORUS003910309764,0
HORUS003992570100,1
HORUS003912557334,0
HORUS003991270820,0
HORUS003910309712,0
HORUS003912556766,0
HORUS003991270644,1
HORUS003992570090,1
HORUS003910310258,0
HORUS003912557359,0
HORUS003912556650,0
HORUS003992568192,0
HORUS003992568009,0
HORUS003992567971,0
HORUS003912557015,1
HORUS003912556903,1
HORUS007200118244,0
HORUS007200119807,0
HORUS007200121941,0
HORUS003912557233,0
HORUS003912556946,0
HORUS007200119818,0
HORUS003910310404,0
HORUS007200121442,0
HORUS003992570280,0
HORUS003992569625,0
HORUS003992568046,0
HORUS003912556726,0
HORUS003991270929,1
HORUS003910310540,1
HORUS003912557056,0
HORUS003992567998,0
HORUS003991270689,0
HORUS003992568800,0
HORUS007200119943,0
HORUS003992568323,1
HORUS003992567857,0
HORUS007200120066,0
HORUS007200121550,0
HORUS003992568715,0
HORUS007200121213,0
HORUS003991270466,0
HORUS003910310610,0
HORUS003991270609,0
HORUS003910309708,0
HORUS003910310931,0
HORUS003992568239,0
HORUS003910310263,0
HORUS003992568061,0
HORUS007200120134,0
HORUS003912557054,0
HORUS003912557563,0
HORUS003910310929,0
HORUS007200121200,0
HORUS007200121503,0
HORUS007200121572,0
HORUS003991271139,1
HORUS003910310921,1
HORUS003910310294,0
HORUS003910310011,0
HORUS003992568113,0
HORUS003912557332,0
HORUS003992567853,0
HORUS003991270476,0
HORUS007200120065,0
HORUS003910310220,0
HORUS007200119860,0
HORUS006992569135,0
HORUS003912557011,1
HORUS003992569661,0
HORUS003992567970,0
HORUS003992569251,0
HORUS003912557570,0
HORUS007200119856,0
HORUS003912556475,0
HORUS006992569168,0
HORUS003910310204,1
HORUS003991270843,1
HORUS007200121558,0
HORUS003910309675,0
HORUS003991270263,0
HORUS007200121953,0
HORUS003912556471,0
HORUS003912556877,0
HORUS003910310957,1
HORUS003992569306,0
HORUS003992569287,0
HORUS007200122005,0
HORUS003910310361,0
HORUS007200121428,0
HORUS007200121204,0
HORUS003912557141,0
HORUS003992568235,0
HORUS003910310571,1
HORUS003991270647,0
HORUS003910309798,0
HORUS003992669397,0
HORUS007200121951,0
HORUS003910309967,0
HORUS003992568105,0
HORUS003912557024,0
HORUS007200119985,0
HORUS003912556999,0
HORUS003991271081,0
HORUS003910310830,0
HORUS003912557072,0
HORUS003992567996,0
HORUS007200117868,0
HORUS003910310255,0
HORUS003992568673,0
HORUS003992569028,0
HORUS003991270398,0
HORUS003991270928,0
HORUS007200121994,0
HORUS003912556716,0
HORUS003991270624,0
HORUS007200119768,0
HORUS003912557427,0
